"ID","구분","카테고리","요구사항_명칭","상세_내용","우선순위","비고"
"REQ-001","기능","인증","회원가입","일반 사용자는 이메일, 비밀번호, 이름, 성별, 생년월일, 전화번호로 회원가입할 수 있어야 한다.","High","이메일/전화번호 중복 불가"
"REQ-002","기능","인증","로그인","일반 사용자는 이메일+비밀번호로 로그인할 수 있어야 하며, 성공 시 액세스 토큰을 받아야 한다.","High","refresh token은 HttpOnly 쿠키로 발급"
"REQ-003","기능","인증","토큰 재발급","일반 사용자는 refresh token으로 액세스 토큰을 재발급 받을 수 있어야 한다.","High","refresh token 누락 시 401"
"REQ-004","기능","인증","보호 API 접근 제어","시스템은 인증이 필요한 API 호출 시 JWT 검증 후 사용자 식별에 성공한 요청만 처리해야 한다.","High","실패 시 401"
"REQ-005","기능","OCR","의료문서 업로드","일반 사용자는 스마트폰 카메라/갤러리를 통해 처방전/약봉투 파일(PDF/JPG/PNG)을 업로드할 수 있어야 한다.","High","모바일 우선 시나리오"
"REQ-006","기능","OCR","업로드 유효성 검증","시스템은 허용 확장자 외 파일, 파일 크기 초과 파일, 손상 파일을 거절해야 한다.","High","거절 시 400/413"
"REQ-007","기능","OCR","OCR 작업 생성","일반 사용자는 업로드 문서 OCR 작업을 생성할 수 있어야 하며, 시스템은 즉시 job_id와 QUEUED 상태를 반환해야 한다.","High","비동기 처리"
"REQ-008","기능","OCR","OCR 상태 조회","일반 사용자는 OCR 작업 상태(QUEUED/PROCESSING/SUCCEEDED/FAILED)를 조회할 수 있어야 한다.","High","본인 작업만 조회 가능"
"REQ-009","기능","OCR","OCR 결과 저장","AI 워커는 OCR 성공 시 raw 텍스트와 구조화 데이터를 DB에 저장해야 하며, 좌표(raw blocks)는 저신뢰/검수 필요 케이스 중심으로 선택 저장할 수 있어야 한다.","High","실패 시 error_message 저장"
"REQ-010","기능","가이드","가이드 작업 생성","일반 사용자는 OCR 완료 건 기반 가이드 생성 작업을 요청할 수 있어야 한다.","High","job_id, QUEUED 반환"
"REQ-011","기능","가이드","가이드 상태 조회","일반 사용자는 가이드 작업 상태를 조회할 수 있어야 한다.","High","본인 작업만 조회 가능"
"REQ-012","기능","가이드","가이드 결과 조회","일반 사용자는 생성된 가이드(복약/생활습관/위험도)를 조회할 수 있어야 한다.","High","결과 JSON 반환"
"REQ-013","기능","가이드","안전 고지 포함","시스템은 가이드 결과에 ""의료진 진료 대체 불가"" 고지 문구를 항상 포함해야 한다.","High","고정 문구"
"REQ-014","기능","챗봇","채팅 세션 생성","일반 사용자는 챗봇 세션을 생성하고 ACTIVE 상태로 사용할 수 있어야 한다.","High","세션 단위 이력 관리"
"REQ-015","기능","챗봇","메시지 송수신/저장","일반 사용자는 질문을 전송하고 답변을 수신해야 하며, 시스템은 USER/ASSISTANT 메시지를 모두 저장해야 한다.","High","role, timestamp 저장"
"REQ-016","기능","챗봇","대화 맥락 유지","시스템은 최근 5~10턴 이력을 반영하고 대명사 표현(예: ""그 약"")을 해석해 응답해야 한다.","High","턴 수 설정 가능"
"REQ-017","기능","챗봇","대화 이력 조회","일반 사용자는 세션별 대화 이력을 페이지네이션으로 조회할 수 있어야 한다.","Medium","limit/offset 지원"
"REQ-018","기능","알림","알림 목록 조회","일반 사용자는 본인 알림 목록을 조회할 수 있어야 한다.","Medium","선택 기능"
"REQ-019","기능","알림","미읽음 개수 조회","일반 사용자는 미읽음 알림 개수를 조회할 수 있어야 한다.","Medium","선택 기능"
"REQ-020","기능","알림","알림 읽음 처리","일반 사용자는 단건 알림을 읽음 처리할 수 있어야 한다.","Medium","선택 기능"
"REQ-021","기능","알림","전체 읽음 처리","일반 사용자는 본인 알림을 전체 읽음 처리할 수 있어야 한다.","Medium","선택 기능"
"REQ-022","기능","알림","가이드 완료 알림 발행","시스템은 가이드 생성 성공 시 GUIDE_READY 유형 알림을 자동 생성해야 한다.","Medium","선택 기능"
"REQ-023","기능","알림","복약 리마인더 관리","일반 사용자는 복약 리마인더를 생성/조회/수정/삭제할 수 있어야 한다.","Low","선택 기능 확장"
"REQ-024","기능","예외처리","OCR 실패 처리","AI 워커 OCR 실패 시 상태를 FAILED로 변경하고 사용자 조회 응답에 실패 사유를 노출해야 한다.","High","재시도 정책 별도"
"REQ-025","기능","예외처리","가이드 생성 실패 처리","LLM 호출 실패/시간초과 시 상태를 FAILED로 저장하고 실패 사유를 반환해야 한다.","High","타임아웃 기준 적용"
"REQ-026","기능","권한","리소스 접근 권한","시스템은 사용자 본인 데이터(문서/작업/가이드/채팅/알림)만 접근 허용해야 한다.","High","타 사용자 접근 403/404"
"REQ-027","기능","챗봇","입력 의도 분류","시스템은 사용자 입력을 잡담/의학/위급으로 분류해야 한다.","High","분류 실패 시 안전 우선"
"REQ-028","기능","챗봇","안전 가드레일","자살/자해/범죄/약물 오남용 신호 감지 시 LLM 호출을 차단하고 긴급 상담 메시지를 반환해야 한다.","High","정책 문구 사전 정의"
"REQ-029","기능","챗봇","벡터 검색 기반 지식 회수","의학 질의는 ADHD 전문 의학 지식 Vector DB에서 유사 문서 3~5개를 검색해 사용해야 한다.","High","검색 근거 로깅"
"REQ-030","기능","챗봇","근거 제한 답변","챗봇은 승인된 의료 근거 기반 정보만으로 답변하고 근거 없으면 모른다고 응답해야 한다.","High","Hallucination 억제"
"REQ-031","기능","챗봇","SSE 스트리밍 응답","챗봇 답변은 SSE로 스트리밍 전송되어야 한다.","High","첫 토큰 3초 이내 목표"
"REQ-032","기능","챗봇","추론 감사 로그","시스템은 답변 생성 시 검색 문서 ID, 프롬프트 버전, 모델 버전을 추적 저장해야 한다.","Medium","운영/품질 분석 용도"
"REQ-039","기능","OCR","OCR 엔진 연동","서버는 업로드 문서를 외부 OCR 엔진에 전달하고 텍스트+좌표를 수신해야 한다.","High","엔진 교체 가능 구조"
"REQ-040","기능","OCR","데이터 파싱/정제","OCR 텍스트에서 `약품명`, `용량`, `1일 복용 횟수`, `총 복용일`을 구조화 추출해야 한다.","High","정규식/LLM 보조 가능"
"REQ-041","기능","OCR","ADHD 약물 매핑 검증","파싱된 약품명이 ADHD 약물 리스트 DB와 일치하는지 검증하고 결과를 저장해야 한다.","High","미매핑 항목 검수 상태"
